Year,State,State Abbr,District,Democratic Votes,Republican Votes,Total Votes,Voting Eligible Male,Voting Eligible Female,Voting Eligible Population,Total Population,Median Age,White,White (non Hispanic or Latino),Hispanic or Latino,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,Income above 75k,Income below poverty,Median income,State FIPS,Income under 25k,Income 25k to 50k,Income 50k to 75k
2014,Florida,FL,15,84832,128750,213582,276623,307143,583766,716560,37.4,549037,452162,128494,97363,2473,23066,384,20574,347447,369113,42134,60941,146710,138712,80776,43192,577238,51607,74239,26212,12,326637,140850,58144
2014,Florida,FL,16,105483,169126,274829,298612,333756,632368,717249,50.4,629963,564891,82514,47604,2012,11463,296,11957,344275,372974,45057,53003,167434,162981,96325,65113,614400,63076,68553,26367,12,328072,156360,66892
2014,Florida,FL,17,82263,141493,223756,298746,305970,604716,711159,46.7,601081,499743,126602,64570,2452,10102,256,12498,356140,355019,47623,89297,181958,152711,61916,33660,595235,37775,93784,22091,12,367589,138469,51402
2014,Florida,FL,18,151478,101896,253374,296000,326851,622851,706940,46.4,568846,491681,102434,87811,2267,13912,484,15049,342330,364610,45702,57675,148582,162501,95229,56953,594730,70946,59659,26934,12,319369,142057,62358
2014,Florida,FL,19,80824,159354,246861,306003,333481,639484,723552,48.7,621652,517763,131400,57108,2440,10239,93,10885,352390,371162,69075,64187,159274,157912,99643,61911,615292,68665,75923,26150,12,336786,147676,62165
2014,Florida,FL,20,128498,28968,157466,312536,346589,659125,724296,36.4,291370,174432,146899,382235,2049,14029,258,16035,351223,373073,120839,98941,163020,131929,58596,26025,581351,24535,49321,20524,12,385884,127057,43875
2014,Florida,FL,21,153395,0,153970,307964,359375,667339,724095,43.5,570602,437441,153913,93115,1695,25510,332,16952,344891,379204,82630,46558,136953,153141,111176,64748,597880,75493,54368,27916,12,316553,138826,67008
2014,Florida,FL,22,125404,90685,216096,334077,338889,672966,716067,44.8,583251,454520,152960,83032,1357,15623,421,14941,360957,355110,95396,61795,128752,154063,123889,71990,615451,90016,73864,29288,12,312012,143513,69910
2014,Florida,FL,23,103269,61519,164788,339552,378353,717905,725025,40.9,556742,330505,278016,83057,2485,24916,420,20028,353268,371757,123575,53863,124190,149053,112544,77656,600151,82061,66348,27778,12,323405,129017,65668
2014,Florida,FL,24,129192,15239,149918,321713,373616,695329,717150,35.3,269157,87092,227000,401447,980,12413,185,12275,341480,375670,135982,99864,148117,130170,61555,34293,577668,30225,57351,20344,12,388977,116740,41726
